gene,ontology,term_id,term_name,evidence
JUN,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,IDA
JUN,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,IMP
JUN,BP,GO:0001525,angiogenesis,IEA
JUN,BP,GO:0001774,microglial cell activation,IEA
JUN,BP,GO:0001889,liver development,IEA
JUN,BP,GO:0001938,positive regulation of endothelial cell proliferation,IEA
JUN,BP,GO:0003151,outflow tract morphogenesis,IEA
JUN,BP,GO:0006355,regulation of DNA-templated transcription,IEA
JUN,BP,GO:0006355,regulation of DNA-templated transcription,IEA
JUN,BP,GO:0006357,regulation of transcription by RNA polymerase II,IDA
JUN,BP,GO:0006357,regulation of transcription by RNA polymerase II,NAS
JUN,BP,GO:0006915,apoptotic process,IEA
JUN,BP,GO:0007179,transforming growth factor beta receptor signaling pathway,IDA
JUN,BP,GO:0007254,JNK cascade,IEA
JUN,BP,GO:0007254,JNK cascade,ISS
JUN,BP,GO:0008283,cell population proliferation,IEA
JUN,BP,GO:0008285,negative regulation of cell population proliferation,IEA
JUN,BP,GO:0009410,response to xenobiotic stimulus,IEA
JUN,BP,GO:0010634,positive regulation of epithelial cell migration,IEA
JUN,BP,GO:0019046,release from viral latency,IDA
JUN,BP,GO:0019046,release from viral latency,IDA
JUN,BP,GO:0030224,monocyte differentiation,IEA
JUN,BP,GO:0031103,axon regeneration,IEA
JUN,BP,GO:0034976,response to endoplasmic reticulum stress,IMP
JUN,BP,GO:0035026,leading edge cell differentiation,IEA
JUN,BP,GO:0035994,response to muscle stretch,IEA
JUN,BP,GO:0042127,regulation of cell population proliferation,IBA
JUN,BP,GO:0043065,positive regulation of apoptotic process,IMP
JUN,BP,GO:0043066,negative regulation of apoptotic process,IEA
JUN,BP,GO:0043392,negative regulation of DNA binding,IDA
JUN,BP,GO:0043524,negative regulation of neuron apoptotic process,IEA
JUN,BP,GO:0043922,negative regulation by host of viral transcription,IDA
JUN,BP,GO:0043923,positive regulation by host of viral transcription,IDA
JUN,BP,GO:0045892,negative regulation of DNA-templated transcription,IDA
JUN,BP,GO:0045893,positive regulation of DNA-templated transcription,IDA
JUN,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IBA
JUN,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IDA
JUN,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IEA
JUN,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,NAS
JUN,BP,GO:0048146,positive regulation of fibroblast proliferation,IEA
JUN,BP,GO:0048545,response to steroid hormone,IBA
JUN,BP,GO:0051726,regulation of cell cycle,IBA
JUN,BP,GO:0051726,regulation of cell cycle,IEA
JUN,BP,GO:0060395,SMAD protein signal transduction,IDA
JUN,BP,GO:0061029,eyelid development in camera-type eye,IEA
JUN,BP,GO:0070374,positive regulation of ERK1 and ERK2 cascade,IEA
JUN,BP,GO:0071277,cellular response to calcium ion,IEA
JUN,BP,GO:0072740,cellular response to anisomycin,IEA
JUN,BP,GO:0140467,integrated stress response signaling,NAS
JUN,BP,GO:1902895,positive regulation of miRNA transcription,IMP
JUN,BP,GO:1902895,positive regulation of miRNA transcription,ISS
JUN,BP,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,IMP
JUN,BP,GO:2000144,positive regulation of DNA-templated transcription initiation,IDA
JUN,MF,GO:0000976,transcription cis-regulatory region binding,IDA
JUN,MF,GO:0000976,transcription cis-regulatory region binding,IEA
JUN,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IBA
JUN,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IDA
JUN,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IEA
JUN,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",IBA
JUN,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",IDA
JUN,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",ISA
JUN,MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",IDA
JUN,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IDA
JUN,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IEA
JUN,MF,GO:0003677,DNA binding,IEA
JUN,MF,GO:0003677,DNA binding,TAS
JUN,MF,GO:0003682,chromatin binding,IEA
JUN,MF,GO:0003690,double-stranded DNA binding,IEA
JUN,MF,GO:0003700,DNA-binding transcription factor activity,IDA
JUN,MF,GO:0003700,DNA-binding transcription factor activity,IEA
JUN,MF,GO:0003723,RNA binding,HDA
JUN,MF,GO:0005096,GTPase activator activity,IDA
JUN,MF,GO:0005515,protein binding,IPI
JUN,MF,GO:0019899,enzyme binding,IPI
JUN,MF,GO:0031625,ubiquitin protein ligase binding,IPI
JUN,MF,GO:0035497,cAMP response element binding,IDA
JUN,MF,GO:0042802,identical protein binding,IPI
JUN,MF,GO:0044389,ubiquitin-like protein ligase binding,IPI
JUN,MF,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,IPI
JUN,MF,GO:0070412,R-SMAD binding,IPI
JUN,MF,GO:0140296,general transcription initiation factor binding,IPI
JUN,MF,GO:1990837,sequence-specific double-stranded DNA binding,IDA
JUN,CC,GO:0000228,nuclear chromosome,TAS
JUN,CC,GO:0000785,chromatin,IDA
JUN,CC,GO:0000785,chromatin,ISA
JUN,CC,GO:0000791,euchromatin,IDA
JUN,CC,GO:0005634,nucleus,IDA
JUN,CC,GO:0005634,nucleus,IEA
JUN,CC,GO:0005634,nucleus,NAS
JUN,CC,GO:0005654,nucleoplasm,IDA
JUN,CC,GO:0005654,nucleoplasm,TAS
JUN,CC,GO:0005667,transcription regulator complex,IBA
JUN,CC,GO:0005667,transcription regulator complex,IEA
JUN,CC,GO:0017053,transcription repressor complex,IEA
JUN,CC,GO:0035976,transcription factor AP-1 complex,IDA
JUN,CC,GO:0035976,transcription factor AP-1 complex,IEA
JUN,CC,GO:0035976,transcription factor AP-1 complex,IMP
JUN,CC,GO:0035976,transcription factor AP-1 complex,IPI
JUN,CC,GO:0090575,RNA polymerase II transcription regulator complex,IPI
CMYA5,CC,GO:0005634,nucleus,IEA
CMYA5,CC,GO:0005634,nucleus,ISS
CMYA5,CC,GO:0005737,cytoplasm,IBA
CMYA5,CC,GO:0005737,cytoplasm,IEA
CMYA5,CC,GO:0016529,sarcoplasmic reticulum,IEA
CMYA5,CC,GO:0016529,sarcoplasmic reticulum,ISS
CMYA5,CC,GO:0031430,M band,IEA
CMYA5,CC,GO:0048471,perinuclear region of cytoplasm,IEA
CMYA5,CC,GO:0048471,perinuclear region of cytoplasm,ISS
TYW1B,BP,GO:0008033,tRNA processing,IEA
TYW1B,BP,GO:0031591,wybutosine biosynthetic process,IBA
TYW1B,MF,GO:0000166,nucleotide binding,IEA
TYW1B,MF,GO:0003824,catalytic activity,IEA
TYW1B,MF,GO:0005515,protein binding,IPI
TYW1B,MF,GO:0010181,FMN binding,IEA
TYW1B,MF,GO:0016829,lyase activity,IEA
TYW1B,MF,GO:0046872,metal ion binding,IEA
TYW1B,MF,GO:0051536,iron-sulfur cluster binding,IEA
TYW1B,MF,GO:0051539,"4 iron, 4 sulfur cluster binding",IEA
TYW1B,MF,GO:0102521,tRNA-4-demethylwyosine synthase activity,IEA
PNO1,MF,GO:0003676,nucleic acid binding,IEA
PNO1,MF,GO:0003723,RNA binding,HDA
PNO1,MF,GO:0003723,RNA binding,IEA
PNO1,MF,GO:0005515,protein binding,IPI
PNO1,CC,GO:0005634,nucleus,IBA
PNO1,CC,GO:0005634,nucleus,IEA
PNO1,CC,GO:0005654,nucleoplasm,IDA
PNO1,CC,GO:0005654,nucleoplasm,TAS
PNO1,CC,GO:0005730,nucleolus,IDA
PNO1,CC,GO:0005730,nucleolus,IEA
PNO1,CC,GO:0005829,cytosol,TAS
PNO1,CC,GO:0032040,small-subunit processome,IDA
IFT57,BP,GO:0001843,neural tube closure,IEA
IFT57,BP,GO:0001947,heart looping,IEA
IFT57,BP,GO:0006915,apoptotic process,IDA
IFT57,BP,GO:0006915,apoptotic process,IEA
IFT57,BP,GO:0007224,smoothened signaling pathway,IEA
IFT57,BP,GO:0010839,negative regulation of keratinocyte proliferation,IEA
IFT57,BP,GO:0035720,intraciliary anterograde transport,NAS
IFT57,BP,GO:0042073,intraciliary transport,IBA
IFT57,BP,GO:0042981,regulation of apoptotic process,IDA
IFT57,BP,GO:0043616,keratinocyte proliferation,IEA
IFT57,BP,GO:0044458,motile cilium assembly,IEA
IFT57,BP,GO:0060271,cilium assembly,NAS
IFT57,BP,GO:0060972,left/right pattern formation,IEA
IFT57,BP,GO:1905515,non-motile cilium assembly,IBA
IFT57,BP,GO:1905515,non-motile cilium assembly,IEA
IFT57,MF,GO:0003677,DNA binding,IEA
IFT57,MF,GO:0005515,protein binding,IPI
IFT57,CC,GO:0005737,cytoplasm,IEA
IFT57,CC,GO:0005794,Golgi apparatus,IBA
IFT57,CC,GO:0005794,Golgi apparatus,IEA
IFT57,CC,GO:0005813,centrosome,IEA
IFT57,CC,GO:0005815,microtubule organizing center,IBA
IFT57,CC,GO:0005856,cytoskeleton,IEA
IFT57,CC,GO:0005929,cilium,IBA
IFT57,CC,GO:0005929,cilium,IEA
IFT57,CC,GO:0005929,cilium,NAS
IFT57,CC,GO:0005929,cilium,TAS
IFT57,CC,GO:0005930,axoneme,IEA
IFT57,CC,GO:0030992,intraciliary transport particle B,IBA
IFT57,CC,GO:0030992,intraciliary transport particle B,IEA
IFT57,CC,GO:0030992,intraciliary transport particle B,IPI
IFT57,CC,GO:0030992,intraciliary transport particle B,ISS
IFT57,CC,GO:0032391,photoreceptor connecting cilium,IDA
IFT57,CC,GO:0032391,photoreceptor connecting cilium,IEA
IFT57,CC,GO:0036064,ciliary basal body,IEA
IFT57,CC,GO:0036064,ciliary basal body,ISS
IFT57,CC,GO:0042995,cell projection,IEA
IFT57,CC,GO:0044292,dendrite terminus,IEA
IFT57,CC,GO:0097542,ciliary tip,TAS
IFT57,CC,GO:0097546,ciliary base,IDA
