Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,GO_type
GO_Cellular_Component_2023,Ficolin-1-Rich Granule (GO:0101002),17/184,1.4961128015447656e-06,0.0002767808682857816,0,0,4.400876817792986,59.027377669918536,GPI;DBNL;GAA;ITGB2;NBEAL2;AMPD3;APEH;EEF1A1;CST3;ACLY;PFKL;IMPDH2;COTL1;TBC1D10C;ALDOC;VCL;VPS35L,Cellular_Component
GO_Cellular_Component_2023,Ficolin-1-Rich Granule Lumen (GO:1904813),12/123,3.022700957804934e-05,0.0027959983859695,0,0,4.635522940158702,48.24084274548344,EEF1A1;CST3;ACLY;GPI;PFKL;DBNL;IMPDH2;COTL1;ALDOC;AMPD3;APEH;VCL,Cellular_Component
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),37/856,0.0002315590734822499,0.014279476198072,0,0,1.9755457419008824,16.53665241980372,CYFIP1;GPI;ACSS2;OGDHL;APEH;CST3;QARS1;ACP6;COTL1;GPC2;NT5M;TK1;PDK1;POLG;ARSA;CRTAP;DBNL;MMAB;IDH2;AMPD3;ACSF3;ACSF2;BCKDK;GSTZ1;EEF1A1;ACLY;PFKL;ETHE1;IMPDH2;SARDH;NUCB1;ALDOC;MELTF;AGRN;MFGE8;NAT8L;VCL,Cellular_Component
GO_Cellular_Component_2023,Cytoplasmic Vesicle Lumen (GO:0060205),10/115,0.0003542944061732183,0.0163861162855113,0,0,4.06698063840921,32.31371611960956,EEF1A1;CYFIP1;GPI;PFKL;DBNL;IMPDH2;COTL1;ALDOC;AMPD3;VCL,Cellular_Component
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),16/316,0.0031270591713046,0.1046303840426947,0,0,2.2847809948032665,13.177845157168983,LGALS3BP;CYFIP1;ARSA;GPI;DBNL;ANXA2;AMPD3;UNC13D;EEF1A1;ACLY;PFKL;IMPDH2;PCYOX1L;COTL1;ALDOC;VCL,Cellular_Component
GO_Cellular_Component_2023,Cortical Cytoskeleton (GO:0030863),6/63,0.0033934178608441,0.1046303840426947,0,0,4.466918931315216,25.39853317911663,EEF1A1;RIMS3;GYPC;COTL1;CORO1A;SPTBN2,Cellular_Component
GO_Cellular_Component_2023,Mitochondrial Matrix (GO:0005759),17/355,0.004151539729935,0.1086663153251748,0,0,2.1551999683009297,11.819711449044537,ACSS2;MMAB;IDH2;OGDHL;ACSF3;ACSF2;BCKDK;GSTZ1;QARS1;ETHE1;ACP6;SARDH;NT5M;TK1;NAT8L;PDK1;POLG,Cellular_Component
GO_Cellular_Component_2023,Tertiary Granule (GO:0070820),10/162,0.0046990839059535,0.1086663153251748,0,0,2.8026315789473686,15.023191851523933,CST3;CYFIP1;HGSNAT;DBNL;GAA;ITGB2;TBC1D10C;NBEAL2;ALDOC;VPS35L,Cellular_Component
GO_Cellular_Component_2023,Secretory Granule Membrane (GO:0030667),14/279,0.0059605693583015,0.1133455116464528,0,0,2.257289879931389,11.563168923974931,HGSNAT;SLC44A2;GAA;RAB3D;ITGB2;NBEAL2;PCSK4;BST2;RAB44;SELL;RAB37;TBC1D10C;PECAM1;VPS35L,Cellular_Component
GO_Cellular_Component_2023,Actin Filament (GO:0005884),6/71,0.0061267844133217,0.1133455116464528,0,0,3.9155354449472095,19.949986821679847,MICAL1;COTL1;RCSD1;CORO1A;CORO1B;AMOT,Cellular_Component
GO_Cellular_Component_2023,T Cell Receptor Complex (GO:0042101),3/19,0.0091716999479135,0.1139890954129543,0,0,7.921672077922078,37.16557519260444,CD4;SYK;TRBC1,Cellular_Component
GO_Cellular_Component_2023,Vesicle (GO:0031982),12/235,0.0091890537840836,0.1139890954129543,0,0,2.294063493006266,10.758566623569797,CST3;ANXA2;LAMP3;DGKQ;ITGB2;MYO7B;HEXD;MFGE8;FBLN2;WDR54;VCL;MYO1G,Cellular_Component
GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),16/356,0.0095349241505615,0.1139890954129543,0,0,2.011790907899908,9.360448655080974,ABCA2;HGSNAT;ANXA2;LRP1;SLC44A2;GAA;RAB3D;WDR41;ARRB1;ABCC10;TPCN2;BST2;EEF1A1;RAB44;RAB37;ANXA6,Cellular_Component
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),15/327,0.0099643284309893,0.1139890954129543,0,0,2.0537393162393163,9.465158176982928,DBNL;MYO7B;RCSD1;CORO1A;TRIOBP;CORO1B;AMOT;EEF1A1;ABLIM1;SCNN1D;MICAL1;COTL1;VILL;SPTBN2;MYO1G,Cellular_Component
GO_Cellular_Component_2023,Extracellular Membrane-Bounded Organelle (GO:0065010),5/57,0.0103267546918825,0.1139890954129543,0,0,4.072533444816053,18.62376552586168,ITGB2;HEXD;MFGE8;FBLN2;VCL,Cellular_Component
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),9/155,0.0104649088136274,0.1139890954129543,0,0,2.621079668348955,11.95140940145768,BST2;RAB44;ARSA;ACLY;ANXA2;RAB37;RAB3D;GAA;UNC13D,Cellular_Component
GO_Cellular_Component_2023,Dihydrolipoyl Dehydrogenase Complex (GO:0045240),2/7,0.0104833668861241,0.1139890954129543,0,0,16.872570194384448,76.90459088384463,BCKDK;OGDHL,Cellular_Component
GO_Cellular_Component_2023,Azurophil Granule Membrane (GO:0035577),5/58,0.0110908309050442,0.1139890954129543,0,0,3.995488105004102,17.986235315016017,BST2;RAB44;RAB37;RAB3D;GAA,Cellular_Component
GO_Cellular_Component_2023,Extracellular Vesicle (GO:1903561),5/60,0.0127327884928901,0.1157442294365207,0,0,3.849802371541502,16.798900773088704,ITGB2;HEXD;MFGE8;FBLN2;VCL,Cellular_Component
GO_Cellular_Component_2023,Ficolin-1-Rich Granule Membrane (GO:0101003),5/60,0.0127327884928901,0.1157442294365207,0,0,3.849802371541502,16.798900773088704,GAA;ITGB2;TBC1D10C;NBEAL2;VPS35L,Cellular_Component
GO_Cellular_Component_2023,"Phosphatidylinositol 3-Kinase Complex, Class I (GO:0097651)",2/8,0.0137641786356943,0.1157442294365207,0,0,14.059755219582431,60.25569347401861,PIK3CD;PIK3R5,Cellular_Component
GO_Cellular_Component_2023,"Phosphatidylinositol 3-Kinase Complex, Class IA (GO:0005943)",2/8,0.0137641786356943,0.1157442294365207,0,0,14.059755219582431,60.25569347401861,PIK3CD;PIK3R5,Cellular_Component
GO_Cellular_Component_2023,Nuclear Membrane (GO:0031965),11/227,0.0175771952509896,0.1413817878883952,0,0,2.1670439712840595,8.75735611889336,RAP1GAP2;CREB3L4;NRM;TMC8;ENO1;TMEM97;DHCR7;APEH;SLC16A3;CEP128;TM7SF2,Cellular_Component
GO_Cellular_Component_2023,Cortical Actin Cytoskeleton (GO:0030864),4/44,0.0188166304403356,0.1447804091658722,0,0,4.22885032537961,16.801282402058753,EEF1A1;COTL1;CORO1A;SPTBN2,Cellular_Component
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),16/387,0.0195649201575502,0.1447804091658722,0,0,1.8407122146248929,7.241393336262135,CYFIP1;RPL3;LRP1;ITGB2;RPL13A;IL16;TRIOBP;CORO1B;RPS4X;PDLIM1;CAPN5;ANXA6;PTK2B;EVL;VIM;VCL,Cellular_Component
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),16/395,0.0231415501380061,0.1646610298281208,0,0,1.8011059463715908,6.783191158761623,CYFIP1;RPL3;LRP1;ITGB2;RPL13A;IL16;TRIOBP;CORO1B;RPS4X;PDLIM1;CAPN5;ANXA6;PTK2B;EVL;VIM;VCL,Cellular_Component
GO_Cellular_Component_2023,Filopodium Membrane (GO:0031527),2/11,0.025820629817998,0.1769191302344311,0,0,9.371730261579074,34.26849550891229,PALM;TBC1D10C,Cellular_Component
GO_Cellular_Component_2023,Tertiary Granule Lumen (GO:1904724),4/53,0.0345364304593744,0.2281871298208667,0,0,3.4505290185488517,11.613585459901262,CST3;CYFIP1;DBNL;ALDOC,Cellular_Component
